,会社名,URL,タイトル,経験,技術領域,形式,言語タグ,本文
46,LINE株式会社,https://linecorp.com/ja/career/newgrads/internship/engineer,技術職 就業型コース（東京・福岡）,,,体験,,"各エンジニア組織の実際の課題・タスクにアサインされ業務に取り組む、就業型のプログラムです。

【昨年の業務例】

・LINEアプリ内の「LINEクーポン」の新機能のフロントエンド開発および企画ミーティングへの参加などの関連業務

・LINEで運用しているネットワーク機器から送信されるsyslogの監視ツールの開発

・LINEの各プロダクトに対するリスクアセスメントおよびOSSプロジェクトのバグハント

各参加者には1人1名エンジニア社員のメンターが付き、日々の業務をサポートします。
期間中にCTOや社内エンジニアなどとの交流機会も予定しています。
参加者には成果報告として、LINE Engineering Blogへレポートを寄稿していただきます。"
47,LINE株式会社,https://linecorp.com/ja/career/newgrads/internship/engineer-kyoto,技術職 ハッカソンコース（京都）,,,体験,,"チームで開発課題に取り組む、ハッカソン（イベント）型のプログラムです。

【昨年の課題】
LINEのプライベートクラウドVerda上に構築されたVerda Kubernetes System上での、LINE Front-end Framework(LIFF) SDK最新バージョンをフロントエンドに用いたウェブアプリケーションの開発

・各チームにはエンジニア社員のメンターが付き、技術的側面からサポートします。

・期間中に社内エンジニアとの交流機会も予定しています。"
48,mixi,https://mixi-recruit.snar.jp/jobboard/detail.aspx?id=1jt9THswOXbXpLNMNQESGQ,Dive into mixi GROUP 2020 夏季（エンジニア）,,,体験,,"世界累計5,300万人以上の利用者を誇る国内トップシェアのゲーム開発からスタートアップフェーズのサービス、現在開発中の新規サービスまで、現場社員とともにサービス開発・業務体験できる就業型長期インターンシップです。

成長するプロダクトの開発現場において、実際のチームの一員として業務に携われる絶好の機会です。

短期のブートキャンプ型とは異なる、学生時代にはなかなか経験できないチーム開発のイロハ、技術力をぜひ吸収してください。"
49,"MonotaRO
（モノタロウ）",https://forms.gle/ZkNhfg6HxrwpzcAZ9,"MonotaROの大規模サービス開発を体感する！
5Days Data Scienceインターン",,,体験,Python,"本インターンシップでは、モノタロウの運営するECサイト(monotaro.com)で生まれるビッグデータを活用しデータサイエンス領域の業務を体験いただきます。実際にデータを分析したり、機械学習を使った予測を行い、改善案を提示するところまでを目指して取り組みます。

▼実施内容：
専門に応じ、下記いずれかのテーマでデータ分析/データサイエンス業務に取り組んでいただきます。

タスク例：
商品推薦、検索、広告やプロモーションなどのマーケティングにおける最適化など
・商品検索、データマイニング、自然言語解析、機械学習技術を用いた商品検索システムの開発
・機械学習、Deep learning技術を用いた商品推薦システムの開発
・時系列データ分析・予測、最適化問題技術を用いたマーケティング最適化システムの開発

▼開発環境：
GCP, Python, R, BigQuery, Keras, TensolFlow など"
50,"MonotaRO
（モノタロウ）",https://forms.gle/ae7nB8nvuuUBG67CA,"MonotaROの大規模サービス開発を体感する！
5Days Engineering インターン",,,体験,"Python,JavaScript","本インターンシップでは、モノタロウの運営するECサイト(monotaro.com)のプロダクト開発を体験していただきます。5日間の開発期間で、社員からサポートを受けながら、コードがリリースされるところまでを目標とします。大規模Webサイトの開発を通じ、モノタロウの持つ手法やノウハウを学んでいただけます。

▼実施内容：
・フロントエンド(JavaScript+html/css)開発またはWebAPI(Python+SQL)の開発

実際にソースコードを変更し、commit/pushし、テストし、本番環境にリリースするところまでを目指して取り組みます。アジャイル開発プロセスも体験いただけます。

▼開発環境：
Windows/Linux, IntelliJ, Python, MySQL, Redis, Solr, AWS, GCP, BigQueryなど"
51,"NAVITIME Japan
（ナビタイムジャパン）",https://recruit.navitime.co.jp/internship/,エンジニア体験インターンシップ（中上級編）,,,体験,,"※オンラインでの実施を予定しております。

ナビタイムジャパンが実際のサービスを提供する中で開発、 および使用しているAPIを用いて、Webアプリケーションの開発を体験していただきます。
当社エンジニアのアドバイスを受けながら、 サービスの企画から設計・開発に至るまでの一連の開発工程を体験していただくことができます。
また、3名でのチーム開発の形式で取り組んでいただくことで、実際の働き方に沿った体験になります。
基本的には全日程オンラインでの実施を想定しておりますが、 社会状況を鑑みて可能であれば最終日には本社にて成果発表や会社見学、社員との座談会などを実施し、 当社の雰囲気を感じていただける機会を設けたいと考えています。

※開発は3名チームで行います。ご友人と一緒に申し込む場合は代表者の方がエントリーフォームにチームメンバーのお名前をご記入ください。
　また個人ないし2名でご応募いただくことも可能です。その場合、他にエントリーいただいた方と一緒にチームを組んでいただきます。"
52,"NAVITIME Japan
（ナビタイムジャパン）",https://recruit.navitime.co.jp/internship/,エンジニア体験インターンシップ（初級編）,,,体験,,"※オンラインでの実施を予定しております。

ナビタイムジャパンがサービスを提供する上で開発、および活用している経路探索技術や地図、 地点のデータなどを用いて、当社が用意した課題に沿ってWebアプリケーションの開発を体験していただきます。
当社エンジニアからのアドバイスを受けながら、リモートにて実施いたします。
基本的には全日程オンラインでの実施を想定しておりますが、 社会状況を鑑みて可能であれば最終日には本社にて成果発表や会社見学、社員との座談会などを実施し、 当社の雰囲気を感じていただける機会を設けたいと考えています。
「大学の講義で学んだ」「独学で勉強を始めている」といった経験があってもそれ以外の開発経験が少なく、 「独力で開発をすすめる自信がない・・・」 という初級者向けのプログラムです。"
53,"Nikkei
日本経済新聞社",https://hack.nikkei.com/internJobs/long_term/,日経電子版 長期インターン,,,体験,,"日経電子版の新機能やデジタル事業の新サービスを作っていただきます。
日経の記事データなど各種 API や膨大なアクセスログデータも活用いただけます。
ふだん日経電子版の開発をしている社員がサポートします。

研究や勉強で身につけた、プログラミングスキル、機械学習/人工知能、
自然言語処理、統計処理を生かしたい人の応募をお待ちしております。
※現在はフルリモートです"
54,"Nikkei
日本経済新聞社",title,ソフトウェア/AIエンジニア向け日経電子版インターンシップ（9/19(土) 〜 21(月)・3日間）,,,体験,,"二人一組となって日経電子版の新機能やデジタル事業の新サービスを作っていただきます。 日経の記事データなど各種 API や膨大なアクセスログデータも活用いただけます。 ふだん日経電子版の開発をしている社員がAPI やデータの利用方法についてサポートします。
研究や勉強で身につけた、プログラミングスキル、機械学習/人工知能、自然言語処理、統計処理を生かしたい人の応募をお待ちしております。
フルリモートです。

9/19(土) 〜 21(月) 3日間"
55,"Nikkei
日本経済新聞社",https://hack.nikkei.com/internJobs/2020_summer/,ソフトウェア/AIエンジニア向け日経電子版インターンシップ（9/11(金) 〜 13(日)・3日間）,,,体験,,"二人一組となって日経電子版の新機能やデジタル事業の新サービスを作っていただきます。 日経の記事データなど各種 API や膨大なアクセスログデータも活用いただけます。 ふだん日経電子版の開発をしている社員がAPI やデータの利用方法についてサポートします。
研究や勉強で身につけた、プログラミングスキル、機械学習/人工知能、自然言語処理、統計処理を生かしたい人の応募をお待ちしております。
フルリモートです。

9/11(金) 〜 13(日) 3日間"
56,"Nikkei
日本経済新聞社",https://hack.nikkei.com/internJobs/2020_summer/,ソフトウェア/AIエンジニア向け日経電子版インターンシップ（9/2(水) 〜 4(金) ・3日間）,,,体験,,"二人一組となって日経電子版の新機能やデジタル事業の新サービスを作っていただきます。 日経の記事データなど各種 API や膨大なアクセスログデータも活用いただけます。 ふだん日経電子版の開発をしている社員がAPI やデータの利用方法についてサポートします。
研究や勉強で身につけた、プログラミングスキル、機械学習/人工知能、自然言語処理、統計処理を生かしたい人の応募をお待ちしております。
フルリモートです。

9/2(水) 〜 4(金)  3日間"
57,"Nikkei
日本経済新聞社",https://hack.nikkei.com/internJobs/2020_summer/,ソフトウェア/AIエンジニア向け日経電子版インターンシップ（8/10(月) 〜 14(金)・5日間）,,,体験,,"二人一組となって日経電子版の新機能やデジタル事業の新サービスを作っていただきます。 日経の記事データなど各種 API や膨大なアクセスログデータも活用いただけます。 ふだん日経電子版の開発をしている社員がAPI やデータの利用方法についてサポートします。 研究や勉強で身につけた、プログラミングスキル、機械学習/人工知能、自然言語処理、統計処理を生かしたい人の応募をお待ちしております。 
フルリモートです。

8/10(月) 〜 14(金) 5日間"
58,オプティム(OPTiM),https://recruit.jobcan.jp/optim/show/a001/227458,2020サマーインターン,,,体験,,"【R&D(研究開発)コース】
AIの研究開発に携わっていただきます。
GPUを使った画像解析関連の機械学習に関するテーマに加えて、今年からは新たにエッジデバイスを用いた推論もテーマとして選択いただけます。
詳細は募集要項をご覧ください。"
59,オプティム(OPTiM),https://recruit.jobcan.jp/optim/show/a001/227557,2020サマーインターン,,,体験,,"【Webエンジニアコース】
フロントエンド開発やバックエンド開発などで使うWeb技術を用いて、新たな価値の創造や課題解決をしたい方向けの実務的なインターンシップです。 AI・IoT活用を支える統合基盤(PaaS)やモバイルデバイスのセキュリティを確保するMDMサービスに関連する開発など、さまざまな内容を用意しています。詳細は募集要項をご覧ください。"
60,オプティム(OPTiM),https://recruit.jobcan.jp/optim/show/a001/227459,2020サマーインターン,,,体験,,"【モバイルエンジニアコース】
モバイルデバイス用のアプリ・サービス開発をしたい方向けの実務的なインターンシップです。 スマート農業向けのアプリ・サービスや医師不足の一助となる医療・診断支援アプリ・サービスの開発など、さまざまな内容を用意しています。詳細は募集要項をご覧ください。"
61,ピクシブ株式会社,,この夏ピクシブで圧倒的猛者になる 技術職向け夏のインターンシップ『PIXIV SUMMER BOOT CAMP2020』,,,体験,,"ピクシブで学ぶ、大規模サービス開発とテクノロジー開発

ピクシブ株式会社は「創作活動がもっと楽しくなる場所を創る」というミッションのもと、5000万ユーザーを超えるイラストコミュニケーションサービス「pixiv」をはじめ、現在20以上のサービス開発を進めています。
この夏実施するインターンシップは、大きく分けて3つのコース（全18コース）を用意し、本番環境のAPIを叩き、レビューをうけながら、実際に普段から社員が行っている業務にチャレンジすることができます。
技術の習得やチーム開発を通じて「圧倒的猛者になる」ことはもちろん、ピクシブの開発環境や社風を体験することが出来るインターンシップとなっています。
この夏、実際に動いている大規模サービスの業務を経験してみませんか？

"
62,Preferred Networks,https://preferred.jp/ja/news/internship2020/,PFN2020 夏季国内インターン,,,体験,,"深層学習、コンピュータビジョン、ロボティクス、バイオヘルスケア、強化学習、分散処理など、様々な分野の弊社スペシャリストがメンターとなり、約1.5ヶ月の長期にわたって一緒に議論・研究・開発を行います。

インターン実施中の成果は機密や権利上の問題が無い範囲で OSS や論文、PFN Research & Development Blog記事として公開することを奨励しています。"
63,P&G Japan,[エントリーページ] https://bit.ly/3en71Gb [詳細ビラ] https://drive.google.com/file/d/101y8EvIUcJpHSRo18K68Ji09xsjNGE-D/view?usp=sharing,P&G IT Tech Challenge 2020,,,体験,,"3日間でP&G ITのビジネスアナリスト・データサイエンティストの職種内容を実体験できるチャレンジ．
メンターとともに弊社のビジネス課題に対し，膨大な実データを分析して知見を見出し解決提案をしていただくハッカソンです．
3人1組で1チームとなり実データを使用したビジネス課題に取り組んでいただきます！
優勝チームには豪華景品をプレゼント！＊1人あるいは2人でエントリーいただいた方は弊社側でチームを組ませていただきます．
1日目はビジネス背景や大規模データセットの扱い方の講習を行い，2日目・3日目がハッカソンとなります．"
64,"リクルート
（8/3 公開情報）",FALSE,"RECRUIT Job for Student 2020 Autumn
~PRODUCT GROWTH~",,,体験,,"プロダクトの成長に責任を持つ2ヶ月間

住まい、結婚、飲食、美容、教育….とあらゆる領域にプロダクトを持つリクルートの、プロダクトマネジメント/UXデザイン/開発ディレクション組織のいずれかで、プロジェクトのメンバーとして約2ヶ月働いていただける方を募集いたします。みなさんがよくご存知のプロダクトから新規プロダクトまで、プロダクトの成長に向けた重要な一役を担っていただきます。"
65,リクルート,https://engineers.recruit-jinji.jp/event/job-for-student-2020s/,RECRUIT Job for Student 2020 ~Engineer/Data Specialist~,,,体験,,"自らの技術を価値に変え事業を動かす

人生の意思決定から日常消費まで、あらゆる領域のプロダクトを持つリクルートで、自ら課題設定を行い、提案や実装をしていただきます。約1ヶ月間、ビジネス価値を生み出し続けるスペシャリストと肩を並べ業務を行います。"
66,"Sansan
",https://www.wantedly.com/projects/456592,Sansan Summer Internship 2022,,,体験,C,"◆全部署同時受け入れにて一斉開催◆
受け入れ可能性のある部署部門（下記記載の通り）にてチームの一員としてコードレビューやフィードバックなど現場のエンジニアからアドバイスを受けながら、一通りの実務を体験できます。
※インターンの内容は予告なしに変更する場合があります。


▼Sansan
　日系SaaSベンダー最大規模のプロダクト開発の現場で実務経験をするインターンです。クラウド名刺管理サービス「Sansan」のサーバサイド、もしくはモバイルのチームに入り、担当案件リリースを目標に取り組んでいただきます。
　学生時代にはなかなか経験できないB2Bの大規模サービスに携わることができる機会にチャレンジしてみてください。
※今回はWeb/Mobileともに募集対象となります。
　
▼Eight
　「名刺でつながる、ビジネスのためのSNS」をコンセプトに、今やユーザー数200万人を超えグローバルにスケールし続けるB2Cサービス「Eight」。
今回はそのEightを開発する複数のサーバサイドチームいずれかに入り、実務を経験します。
ユーザ向け/企業向け機能の新規機能開発・改善または、大規模基盤のパフォーマンス改善・新技術スタックの導入などに取り組んでいただきます。

▼DSOC
Sansanのデータ統括部門であるDSOCは、名刺、書類、業績や株価など企業の公開情報といったあらゆるビジネスデータから「出会いのデータベース」を構築しSansan、Eight のコアとなる価値を提供することがミッションの組織です。その開発現場に入っていただき、サービスの改善に向き合っていただきます。
例えば Sansan独自のデータ化システム「GEES」 のデータ化精度は 99.9% 。この高い精度を担保することはとてもハードルの高い課題です。大量のデータから傾向を見出し改善を積み上げるのが DSOC の仕事です。自分のアイデアを実際のプロダクトで試せます。
　
▼新規事業開発室＠大阪
新規事業のプロダクト開発を一緒に体験してもらいます。
新規事業開発チームは弊社の主力プロダクト「Sansan」「Eight」に加え、企業ミッションである「出会いからイノベーションを生み出す」に向けた新たなサービスをつくる部門です。
立ち上げに向け試行を重ね、価値ある事業をスタートさせる開発チームの一員になっていただきます。開発のみならず、企画からリリースまで体験できます。
　"
67,"Visional
（ビズリーチ ）",https://hrmos.co/pages/hrmos/jobs/202201,Visional Tech Internship,,"iOS,インフラ",体験,,プロダクト開発の現場を体感していただく就業型のインターンシップです。 Visionalが提供するサービスのいずれかに配属となり、実際の業務・課題に取り組んでいただきます。 ※配属先はご意向とお持ちの技術的強みを踏まえ決定いたします  ■ フルスタックエンジニア コース エンジニア同士はもちろん、デザイナー、プロダクトマネージャー、マーケティング担当、営業など、部署を越えて協力しながら、既存のプロダクト改善・新機能追加、新プロダクトの開発に取り組んでいただきます。  ■ インフラエンジニア コース AWS、Terraform、DataDog などを用いて、インフラの拡張・高度化、 適切な信頼性を保つためのメトリクス整備またはツール開発のための開発を行います。スクラムによるチーム開発の中に一員として入っていただきます。  ■ アプリエンジニア コース ユーザーのスマホシフト化に対応するために新設されたスマートデバイス特別推進室という全社横断の組織に所属していただき、ビズリーチ社の既存事業、新規事業のモバイルアプリエンジニア（iOS/Android）として、アプリの企画・設計・開発・運用・保守を担当いただきます。  ※担当事業やフェーズ（新規orリプレースorグロース）はご参加時期により異なります。
68,"VOYAGE GROUP
",https://voyagegroup.com/internship/treasure/,Treasure,,,体験,Go,"Treasureのテーマは「Go言語を使って学ぶ、価値のあるもの創りとチーム開発」自分が作りたいもの、という視点だけでなく、実際に使うユーザー視点を持ちながらスモールスタートで無駄なく開発のサイクルを回していくためにはどうしていったらいいのか？チーム開発を加速させるトップエンジニアの考え方や習慣とは？

プログラミング経験者が一同に集まり、最先端のフィールドで活躍するトップエンジニアの指導のもと、たった三週間で、「エンジニア」として研ぎ澄まされていく自分を体感するだろう。"
69,"VOYAGE GROUP
",https://voyagegroup.com/internship/adventure/,Adventure,,,体験,,"「データを活用し効率的な広告配信ロジックを考え、ビジネスインパクトを最大化させよ！」

データドリブン開発「Adventure」では広告リクエストが来た際に「どんな広告を配信すると収益と広告効果が最大化されるか？」を、
実際のサービスで発生した広告配信ログを活用し、効率的なアルゴリズムを考案・実装していただきます。
VOYAGE GROUPのアドテクエンジニアは1日あたり数十億レコードといった膨大な配信ログを使用し、
分析・モデリング・実装・検証 のサイクルを回しながら広告の最適配信の仕組みを作っています。

昨年は、 広告配信ログの分析・機械学習によるコンバージョン率予測・推論処理のアプリケーション組み込みなどをトピックに開発を行いました。
アドテクの事業を支えるエンジニアたちからデータドリブンな開発を学ぶ、実践型インターンシップです！"
70,"VOYAGE GROUP
",https://voyagegroup.com/internship/growthtech/,GrowthTech,,,体験,,"GrowthTech　～チーム開発編～

チームによる開発を学び、実践していくインターンです。
１人ではできないことを実現するために、Web サービス開発ではチームでの取り組みが欠かせません。チーム開発をどうすればうまく進められるのか VOYAGE GROUP のエンジニアは日々考えています。皆さんが普段進めている開発でも「うまくいかない」「もっと改善できる点があるのではないか」と考えているのではないでしょうか？
本インターンシップはチーム開発をどのように進めればよいか学び、実践していきます。前半はチーム開発の型を学んでいただき、後半は Web アプリケーションの作成に複数人で取り組んでいただきます。また、実践では各自がフルサイクルディベロッパー※として取り組んでいただきます。自分の得意なことだけに取り組むようなチーム開発ではなく、チーム内でソフトウェアライフサイクルを回すことが体験できます。
チーム開発がどんなものなのか気になる方はもちろん、どうやってチーム開発を進めればいいのか悩んでいる方にもおすすめです。もしかしたら何かヒントを見つけることができるかもしれません。本インターンシップで VOYAGE GROUP 流のチーム開発を学んでいきましょう。"
71,Wantedly,https://www.wantedly.com/projects/437386,iOS エンジニアコース,,,体験,,インターンLP : https://wantedlyinc.com/ja/summer_intern_2020  Wantedly のインターンシップは、メンター1人につき、学生が1人のマンツーマン型のインターンです。 実際の開発チームにメンバーとして参画し、社員と同じタスクに取り組んでいただきます。そのため、自分の書いたコードが本番にマージされ、デプロイされる、そんな環境での開発を体験することができます。  自分の力を試してみたい、Wantedly のサービスをさらによくできる自信がある、という人には非常におすすめのインターンシップです。
72,Wantedly,https://www.wantedly.com/projects/437212,Android エンジニアコース,,,体験,,
73,Wantedly,https://www.wantedly.com/projects/437282,Frontend エンジニアコース,,,体験,,
74,Wantedly,https://www.wantedly.com/projects/436019,Backend プロダクト開発コース,,,体験,,
75,Wantedly,https://www.wantedly.com/projects/438702,Backend 技術基盤開発コース,,,体験,,
76,Wantedly,https://www.wantedly.com/projects/439093,Infra 技術基盤開発コース,,,体験,,
77,Wantedly,https://www.wantedly.com/projects/437483,機械学習エンジニアコース,,,体験,,
78,Wantedly,https://www.wantedly.com/projects/435791,Data Scientist コース,,,体験,,
79,アカツキ,https://aktsk.jp/recruit/summer-internship2019/,Akatsuki Summer Internship 2020,,,体験,"Rails,Ruby,C"," 飛躍の夏を過ごしたいあなたへ！
「成長」と「つながり」を体感する3週間就業型インターン

下記3コースより選択し、実際の開発現場での業務に携わっていただきます。
各人にアカツキエンジニアがメンターとしてつき、コードレビュー、1on1などを通して「成長」をサポートいたします。
また、他コースに参加するインターン同期やアカツキメンバーとのランチ-ディナー会を通して「つながり」をつくっていただける機会になります。

- クライアントサイド
①Unity/C#を利用したゲームアプリケーション開発
②Cocos2d-xを利用したゲームアプリケーション開発

- サーバサイド
③Ruby on Rails/AWSを利用したアプリケーション開発と運用"
80,アカツキ,https://recruit.aktsk.jp/students/gamejam2020/,Akatsuki Game Jam,,,体験,,"この夏、本気のゲーム開発を体験したい人、技術力の腕試しをしたい人へ！

2日間で企画（アイデアソン）から実装まで、ゲーム開発を体験できるインターンシップです。
限られた時間の中で、発想力、技術力、プロジェクトマネジメント力、プレゼン力の全てをフル活用し、優勝を目指していただきます。

今年は「10」をテーマに開発いただきます。
3〜4人のチームを組み、各チームにメンターがつき、開発をサポートします。"
81,いい生活,https://e-seikatsu.snar.jp/jobboard/detail.aspx?id=nURMykS7fn9VQhdVYh9RHA,＜サマーインターン＞エンジニアコース5Days,,,体験,Vue,"今年はオンラインでの開催です！
なお、開催期間中、外出自粛、当社の在宅推奨期間でなければ、出社していただくことは問題ありません。

「Vue.jsで当社サービスのAPIを使ってチーム開発をしよう！」

いい生活は不動産業界にクラウドサービスを提供する不動産テック企業です。
サマーインターンでは数人でチームを組んで開発をし、最終日に発表していただきます。
（なお当初はFirebaseを使う予定でしたが、開催時のチームの状況を見て、チームによっては使っていただく形とします）

1日目：オリエンテーション～企画
2日目：開発
3日目：開発
4日目：開発・発表準備
5日目：成果発表

問い合わせ先：https://twitter.com/es_developers"
82,"Microsoft
",,サマー インターンシップ(開発職),,,体験,,"- プログラム マネージャー

製品や機能のビジョン、デザイン、仕様を開発チームやマーケティング チームと連携しながらドライブするとともに、そのプロジェクトの成功要件を定義し、テレメトリーを利用した主観的・客観的なデータの分析・評価まで、開発プロジェクトに対し責任をもってマネージするプロフェッショナル。

- ソフトウェア エンジニア

製品の仕様に基づき、ソフトウェア プロダクトの実装における設計・コーディング・テスト コードの開発及び品質管理から、定量的・定性的品質データをお客様から入手するためのシステムの実装、品質データの統計分析、評価、最終製品品質保証に至るまで、製品開発に関わるすべての工程に責任をもつ、開発のプロフェッショナル。"
83,"Microsoft
",,,,,体験,,"■技術職 (テクノロジースペシャリスト)

マイクロソフト製品のエンタープライズ ユーザー (企業顧客) のシステム部門や、大手 SI ベンダーからの技術的な問い合わせに対する支援活動を行います。電話や文書でのトラブル シュートの他に、トラブルが発生している現場に出向き、直接解決を図る場合もあります。トラブル対応以外にもお客様のシステム構築、プログラムの開発支援や開発部門に対するテクニカル フィードバックも行います。また、米国本社の研究開発部門または国内外の関連部署と連携しながら、お客様のトラブルに的確に応え、ソリューションを提供する非常にやりがいのある仕事です。英語力と技術力が必要ですが、それ以上にお客様の気持ちを察する感性、論理的に話す能力、違う角度から物事を見るスキル、役に立ちたいと想う情熱が必要です。マイクロソフトが誇る最新技術を学習していくために、全世界共通の研修プログラムが導入されています。

■技術営業職 (テクニカルセールス・コンサルタント等)

お客様の期待を超える付加価値の高い IT 提案を行って、営業活動の技術的な支援を行うテクニカルセールス、お客様プロジェクトのIT コンサルティングを行うコンサルタント、お客様専任の技術担当者として活躍するテクニカルアカウントマネージャ、技術系の職種も多種多様ですが、どの職種も 常に 最先端の技術開発の現場に立ち会うことができ、優秀な仲間と有意義なプロジェクトに携わることができます。お客様が安心してマイクロソフト製品やサービスをお使いいただくための大きな役割を担っています。

■営業/マーケティング職 (セールス・マーケティング)

多くのパートナー企業 (SIer 様など) と協力して、マイクロソフト製品の営業活動を行うパートナー営業、大手企業のお客様に対して営業戦略の立案を行い、製品、サービス、ライセンスプログラムやソリューションの提案を行うエンタープライズ営業、日本市場に対して製品のプロモーションを行うマーケティングなど、マイクロソフトには様々な営業・マーケティング職種があります。どの職種も、企画力や行動力が求められます。"
84,ソフトバンク,http://recruit.softbank.jp/graduate/recruit/internship/,JOB-MATCHインターン,,,体験,,ネットワークエンジニア、システムエンジニア、セキュリティエンジニア、ソリューションエンジニア、データエンジニア（AI、機械学習）データサイエンティスト（ビッグデータ）、プロダクト開発・サービス開発、研究開発など
85,日本ビジネスアート株式会社（ＪＢＡ）,"■オンライン説明会予約フォーム

https://forms.gle/NanGtfi1TbpjpCE48","JBA札幌長期インターン
（フロントエンドエンジニア／WEBデザイナー）",,,体験,,"■大手企業のコーポレートサイト、マーケティングサイト、商品サイト、キャンペーンサイト、採用サイト、イントラサイトなどの様々なコミュニケーションを設計し作り上げていきます。

１）フロントエンドエンジニア職
WEBページ作成、更新
HTML／CSSコーディング
Wordpressのテンプレート作成、実装

２）WEBデザイナー職
WEBサイトのデザイン
広告バナーの作成
デザインフォーマット作成"
86,株式会社Lightblue Technology,公式HP: https://www.lightblue-tech.com/ お問合せ:recruit@lightblue-tech.com Wantedly URL:https://www.wantedly.com/companies/lightblue-tech/projects,研究室のような雰囲気で、デジタル技術を社会実装する修士課程の学生募集！,,インフラ,体験,,"プログラム内容
データ分析や画像解析、また、それらの基盤となるプラットフォーム開発、デバイス開発の４種のポジションで募集します。
【データ分析】
〇時系列データや数値データの解析を行ってもらいます
〇自然言語処理も含まれます
【データ分析基盤構築】
〇分析基盤としてのインフラ構築
〇過去のAPIの高速化
【画像解析】
〇製品の良品不良品判定等の画像解析や動作解析を行ってもらいます
〇動作解析では、画像解析にとどまらず時系列解析も含みます
【デバイス開発】
〇画像解析導入のためのインフラ開発
〇デバイスの設計・発注"
87,チームラボ株式会社,"
https://open.talentio.com/1/c/teamlab/requisitions/detail/15423",Webアプリエンジニア オンラインインターン,,,体験,,"実際のプロジェクトに携わる10日間のインターンシップ。

チームメンバーの一員として、実業務に参加します。コードレビューやディスカッションを通じて、エンジニアとしての働き方を学べます。"
88,チームラボ株式会社,"
https://open.talentio.com/1/c/teamlab/requisitions/detail/15424",スマホアプリエンジニア オンラインインターン,,,体験,,"実際のプロジェクトに携わる10日間のインターンシップ。

チームメンバーの一員として、実業務に参加します。コードレビューやディスカッションを通じて、エンジニアとしての働き方を学べます。"
89,チームラボ株式会社, https://open.talentio.com/1/c/teamlab/requisitions/detail/15425,フロントエンドエンジニア オンラインインターン,,,体験,,"実際のプロジェクトに携わる10日間のインターンシップ。

チームメンバーの一員として、実業務に参加します。コードレビューやディスカッションを通じて、エンジニアとしての働き方を学べます。"
90,チームラボ株式会社, https://open.talentio.com/1/c/teamlab/requisitions/detail/15433,UI/UX デザイナー オンラインインターン,,,体験,,"実際のプロジェクトに携わる10日間のインターンシップ。

WebサイトやアプリのUI設計などのデザイン領域を担当します。より良いアウトプットにするため、チームメンバーと意見を出し合いながら、課題や実業務のブラッシュアップを行なっていきます。"
91,チームラボ株式会社, https://open.talentio.com/1/c/teamlab/requisitions/detail/15436,カタリスト オンラインインターン,,,体験,,"単目的設計最適化において，21試行のうち目的関数値が中央値を示した試行における目的関数値の進化の様子を図3に示す．灰色●プロットが実行不可能解，青色◆プロットがすべての制約条件を満たす実行可能解，赤色■プロットは最良解である．複数車種の同時最適化ベンチマーク問題[11,12]と同様，探査初期においては実行可能解が得られず，目的関数が悪化する方向へ実行可能解の探査を行っている様子が見られ，目的関数の改善と制約条件の充足と"
92,NTTドコモ,https://information.nttdocomo-fresh.jp/event/technical/#hackathon,ドコモハッカソン,,,体験,,ドコモハッカソンではドコモの一社員として、自らの能力・マインドを120%発揮して、チームでまだ世の中にない新しいアイディアを企画し、ハッカソンスタイルでサービスを開発していただきます。ドコモの最前線で活躍するエンジニア社員と共に、様々な技術を活用し、世の中にこれまでなかった新たな価値を生み出す楽しさを感じていただきながら、確実に成長することのできるインターンシップです。
93,ハウテレビジョン,18:08:12,【参加10万+賞金10万】実務を通じて外資就活を進化させるエンジニアインターン｜ハウテレビジョン,,,体験,,"外資就活ドットコムを運営するハウテレビジョンは実務経験型のエンジニアインターンを開催します。

インターンでは、みなさんが使っている「外資就活ドットコム」の機能を実際に開発、リリースするまでを目指していただきます。いつも使っているサービスを、自分が書いたコードで動かす。みんなが使う。そんなエキサイティングな経験をしてみませんか。期間中は参加者同士でチームを組み、メンター社員のサポートのもと新機能開発に挑戦して頂きます。

※昨年開催時の様子: https://blog.howtelevision.co.jp/entry/summer_intern_2019

今年は同内容のプログラムを2日程開催致しますので、ご都合の良い日程でエントリーください。"
